gdp_deflator,foreign_direct_investment,gross_savings,unemployment,labor_force,mortality_rate,new_businesses_registered,education_expenditure,age_dependency_ratio,food_production_index,human_capital_index,imports,exports,life_expectancy_birth,manufacturing,tobacco_use,profit_tax,population,literacy_rate,birth_rate,death_rate,migration,agriculture_forestry_fishing,industry,gdp_per_capita_change
45.01877021,-230911334.38049993,491878990.741,9.918999952299998,5886907.0,116.3,3023.2,185506418.1935,102.6632376,98.77,0.43749924302,5149095843.3,4840603407.035,57.271,764207132.4,19.759999999999998,17.999999999999996,23680871.0,67.580448056,46.231,10.704,-20393.25,1689670423.0,1025522428.0,11.257203338694893
50.09303031,-230715040.8895,712688539.925,8.829999983650001,6198355.0,112.1,4244.0,188351890.3335,101.5623708,96.05,0.43749924302,3263604585.6,2195077323.295,57.772,917509079.2,19.091143828,18.963333333,24726684.0,65.52004966749999,45.507,10.356,-105319.2,1553454439.0,1370816289.0,20.698302656574015
55.55956927,-235626186.9486,923837608.2449999,5.750358104749999,6483460.0,107.9,2675.6,197698205.6845,100.3491273,106.32,0.43749924302,2740482889.7,2123274187.4099998,58.29,1030605840.0,21.7441521425,0.0,25654277.0,60.358542633,44.723,10.003,-183431.65,1931964163.0,1664800141.0,30.649167933860042
59.55972008,-179217824.99910003,866065984.9349998,6.204499980774999,6644359.0,103.7,2833.15,185688942.73749998,100.9709434,97.63,0.433682215215,3044261867.1,2185732157.33,58.826,1142282594.0,22.6749528305,0.0,26433049.0,57.3096574785,43.87,9.645,-102640.95,1996295153.0,1966653211.0,21.7024067942653
72.97718862,-405720441.884,1675581433.73,6.518000064649999,6770366.0,99.5,2357.15,350262519.79499996,101.6001828,108.92,0.45862074643499995,3830549084.75,3482209648.81,59.375,1729986353.0,24.618375768500005,0.0,27100536.0,68.4190647115,42.944,9.287,-1046361.0,2934600240.0,2620448527.0,95.9595458313014
74.50700121,-47951776.13,1675275196.09,2.49000001,6887819.0,95.4,636.0,349336264.1675,102.0786589,100.53,0.44565782547,3641610067.9,3201247965.9,59.93,1803396550.0,23.385,0.0,27722276.0,70.79926681449999,41.949,8.932,-192171.8,2516415785.0,2720961614.0,4.967507303972468
72.89511344,-55860135.47,2335409596.6,7.01299989941,7028236.0,91.4,3653.0,346418852.3,102.2490139,116.85,0.46489699334,3951899455.05,3921856754.1,60.484,1635724602.0,21.490000000000002,0.0,28394813.0,62.1915314675,40.903,8.584,-121703.6,3644341668.0,2723802099.0,73.41528960474
75.67579254,-192022479.5,3033939261.5,6.109500052555,7214373.0,87.6,4759.0,450654028.7,102.0458229,115.98,0.48503539263999995,5538915200.0,5189419184.0,61.028,1985651755.0,23.98,0.0,29185507.0,69.22818965950002,39.829,8.25,-213540.5,4156019105.0,3353890830.0,105.22700743366016
88.23293918,-51036283.61,3191223238.45,5.540500009864999,7522643.0,83.9,3745.0,509289820.1,100.2244608,110.74,0.4687500611,5935748987.3,5020872553.95,61.553,2453287221.0,24.29,0.0,30117413.0,31.44885063,38.75,7.936,-242119.5,4227391497.0,4048741173.0,47.859717183638395
94.67549354,-65684511.34,4300157259.75,1.690000057,7890946.0,80.3,3557.0,442344606.9,97.92594708,122.13,0.51553694159,6612200053.4,4501203113.75,62.054,2497416618.0,22.334999999999997,0.0,31161376.0,74.97036294950001,37.69,7.645,521769.0,4878564615.0,4231899640.0,50.7087201345729
99.24148949,-47774027.01,4451229644.65,7.193999975885001,8307845.0,76.8,3191.0,576373083.4,95.33874179,119.31,0.51553694159,6563550312.95,4822186626.65,62.525,2364495706.0,22.59,0.0,32269589.0,77.7535229685,36.67,7.38,-311559.55,4690116232.0,4203629519.0,-4.705955986676258
99.80413369,-42994416.21,4573478235.6,7.909999847,8741746.0,73.6,2466.0,610844598.4,92.64914092,123.66,0.51553694159,6301028423.8,4759910447.05,62.966,2351170625.0,21.35,0.0,33370794.0,77.75352296850001,35.706,7.141,-250608.15,4534747494.0,4348872122.0,-23.308834004783307
102.2469028,-166983554.9,2928551840.2349997,7.072500008435002,9175691.0,70.4,2255.0,521148638.1,89.95409233,119.0,0.49742441625000006,6559966944.4,5153332425.65,63.377,2273393319.0,20.685000000000002,0.0,34413603.0,77.7535229685,34.809,6.929,-282541.5,4107697614.0,4404257789.0,-35.39033623368323
60.40930628,-47500000.0,125876841.9,14.89999962,1403095.0,31.3,405.95,65636664.93,62.42452164,81.76,0.418924446405,795637355.1,230306748.5,72.838,103517723.2,20.4,12.45,3148281.0,56.765796471,19.173,6.147,-179606.0,712411315.6,409007634.6,-292.597100167023
64.47500069,-45010000.0,441968337.5,17.70000076,1384501.0,29.9,341.0,74568106.44,61.58218352,84.3,0.418924446405,933613389.8,291948928.3,73.208,120269118.8,21.490000000000002,16.325,3128530.0,60.176944351500005,18.238,6.067,-94309.75,732871328.4,390726845.7,96.40969611478818
65.83121853,-41200000.0,478394937.7,18.39999962,1357637.0,28.6,516.3,94188678.77,60.71301915,82.14,0.418924446405,1097559739.0,540977552.5,73.587,145586966.0,22.29,19.815,3108778.0,63.7492602345,17.321,5.983,-116095.3,832545039.8,531170383.8,219.45142955985432
69.54658904,-143000000.0,902840654.7,16.79999924,1343716.0,27.2,916.4,103579000.2,59.72358599,86.31,0.418924446405,1508346759.0,700086106.3,73.955,150277415.1,23.080000000000002,21.724999999999998,3089027.0,69.52413978549998,16.436,5.914,-87924.55,853221626.6,675037359.0,93.44162471846244
72.1990493,-207300000.0,1157198230.0,16.39999962,1319777.0,25.8,1269.25,118475130.2,58.68645122,89.39,0.418924446405,1771126270.0,836718641.2,74.288,160765418.3,22.424999999999997,21.32,3060173.0,98.71298218,15.59,5.879,-36750.25,890951830.7,852494222.5,154.97607568282956
74.83009089,-135000000.0,1127831427.0,15.80000019,1313099.0,24.4,629.55,131261434.6,57.5428762,89.85,0.418924446405,2068789181.0,910731608.0,74.579,176816983.3,19.985,18.939999999999998,3051010.0,69.21785011250002,14.79,5.891,-176774.0,957670053.5,1004682285.0,143.46545538103328
78.71908959,-178036400.7,1494845802.0,15.0,1300292.0,22.9,3495.85,170922545.9,56.31671298,95.22,0.418924446405,2591004722.0,1169853126.0,74.828,231428661.3,16.994999999999997,18.580000000000002,3039616.0,66.0046220775,14.048,5.952,-186550.05,1233305513.0,1349877170.0,420.99396454271255
81.20420711,-327681210.2,2117517923.0,14.39999962,1286492.0,21.4,3045.15,219181776.6,55.0733347,99.87,0.418924446405,3220863616.0,1596260273.0,75.039,300145513.9,22.259152142499996,11.495000000000001,3026939.0,68.098743343,13.381,6.061,-91556.85,1475550839.0,1772139249.0,527.4610304987998
83.88678088,-258417488.7,2436229166.0,14.10000038,1271829.0,20.0,3439.0,246818247.0,53.8499697,97.92,0.42795653194499994,3853668208.0,1853023371.0,75.228,356374117.2,23.599152142499996,20.1,3011487.0,74.78349657,12.821,6.206,-74124.45,1517434412.0,2019597818.0,300.2074386332588
85.96773151,-314638316.8,2586798678.0,13.80000019,1260202.0,18.5,1417.0,276873213.3,52.61953224,102.21,0.42886039167999995,4364191251.0,2242664372.0,75.423,436350422.1,25.485000000000007,18.5,2992547.0,85.9691049565,12.398,6.365,-134203.5,1575351721.0,2251435017.0,298.95598202148904
89.74162869,-647365283.8,2557023522.0,15.97000027,1247416.0,17.1,2176.0,334226995.7,51.6043425,103.82,0.42879069895,5867635984.0,3016115601.0,75.646,565560739.6,32.0,17.8,2970017.0,79.9537031175,12.118,6.518,-217358.0,1831547454.0,2705665287.0,622.2938985701308
93.43645822,-881244175.1,2273766544.0,13.06000042,1234242.0,15.8,3005.0,396876680.1,50.75273712,108.06,0.44165386558,6717536051.0,3259292016.0,75.912,643779218.2,23.549999999999997,16.8,2947314.0,95.93863678,11.973,6.65,-126312.1,2168844717.0,3241080117.0,775.5029639575437
95.70009274,-950761387.6,2087086805.0,13.67000008,1226421.0,14.5,2045.0,366279171.8,50.04407756,112.42,0.42879069895000005,6004542100.0,3040048180.0,76.221,626007047.9,24.095000000000002,8.1,2927519.0,79.28953065850001,11.945,6.756,-163701.3,2022753561.0,2940434690.0,-256.40001283856964
100.0,-1043511678.0,2380979460.0,14.09000015,1225905.0,13.2,2088.0,367558315.2,49.47790868,118.43,0.5436029434,5792188900.0,3337088824.0,76.562,650270116.3,31.1,8.5,2913021.0,75.324398327,12.001,6.841,-157330.35,2141580308.0,2974273861.0,-19.789779621994512
102.3147855,-846616681.6,2648242224.0,13.47999954,1371813.0,12.1,1849.0,404289189.6,48.11805823,124.65,0.44165386558,6700239257.0,3769453238.0,76.914,729860608.7,22.810000000000002,8.8,2905195.0,96.84529877,12.1,6.915,-124905.75,2349569556.0,3156227514.0,342.7925504891941
103.3813401,-834803023.1,2418483754.0,13.38000011,1314035.0,11.2,1886.0,386187948.5,47.0330799,133.04,0.4321802035,5860874324.0,3565049240.0,77.252,568489853.4,30.5,8.7,2900401.0,97.24697113,12.197,6.996,-136590.0,2312037802.0,2823522012.0,-189.51290149498618
103.6798555,-1225674342.0,2266644416.0,15.86999989,1232509.0,10.4,2114.0,413359938.9,46.25665586,134.39,0.44165386558,5999382980.0,3694416159.0,77.554,646452419.4,23.055,9.4,2895092.0,71.80108099,12.257,7.096,-117806.85,2499689408.0,2946366491.0,165.4308777001961
105.2867674,-1074294190.0,2108201394.0,18.04999924,1243921.0,9.9,2219.0,420858697.3,45.77467951,141.72,0.44165386558,6243003413.0,3732053470.0,77.813,704507394.8,30.1,9.5,2889104.0,72.667851162,12.259,7.219,-131694.3,2644326318.0,2845222696.0,165.57113258551271
105.8805415,-910256726.0,1919494286.0,17.19000053,1302893.0,9.6,2616.0,359944583.8,45.55040246,145.71,0.42879069895,5070977924.0,3104896171.0,78.025,645803922.9,24.835,14.1,2880703.0,68.808664036,12.197,7.367,-152562.6,2252343768.0,2478194800.0,-625.8307786743549
29.99097543,-1144494784.0525,11500654099.25,25.43000031,8251472.0,41.6,5758.75,2053027609.0,71.33041563,59.24,0.5536157563299999,10279999650.0,14890000201.0,69.323,6729387361.65,20.36,18.316818182,29742979.0,87.497078133,22.187,5.257,-164413.0,6976142363.75,14709571667.85,15.868303286430546
29.05193139,-1215723593.6200001,10735186513.55,8.33332931965,8460836.0,40.8,5997.4,2063297026.0,68.48971648,66.1,0.55361575633,10849999758.0,10880000226.0,69.745,6757819508.5,18.72,19.046818182000003,30192754.0,86.189061547,21.073,5.148,-330178.95,8050687550.65,13630303665.3,-23.80250961412048
32.20590676,-1175686075.6675,11254487341.8,9.26699997245,8669900.0,40.3,5162.0,2070572428.0,65.69876058,70.33,0.55201391727,11079835972.0,13692378406.0,70.183,16939691171.0,25.294999999999998,20.6,30623406.0,89.530283356,20.175,5.05,-259516.45,5402499474.0,22438534563.0,-7.6571924615927855
39.50955568,-1347324781.6725001,15503359870.4,29.77000046,8879547.0,39.7,8454.7,2326458841.0,63.05268003,66.13,0.56220098883,11390139516.0,23050102312.0,70.64,24859686420.0,26.655,17.4,31042235.0,88.40170040199999,19.554,4.961,-144998.25,4599667818.0,30145934095.0,176.67567633594035
39.3225355,-1294592125.8475,14405115268.2,27.29999924,9106753.0,38.9,7025.05,2374333351.0,60.2510598,70.44,0.56220098883,12053066114.0,20085454899.0,71.116,22102428285.0,26.170000000000005,19.335,31451514.0,87.737548638,19.257,4.882,-144998.25,5337291977.0,27850598977.0,-24.41518746116094
39.84172536,-1306926888.875,14865729245.5,25.89999962,9327491.0,37.8,7319.85,2437683864.0,57.75290606,73.93,0.5646948278000001,14547453628.0,20152476092.0,71.605,22057177280.0,28.05,18.999999999999996,31855109.0,69.87349701,19.27,4.814,-205228.0,5236126101.0,28374337994.0,41.21853513389283
43.16087022,-2476622607.015,18405299330.3,23.71999931,9544295.0,36.5,9888.7,2922001560.0,55.51531284,85.66,0.57122600526,16203129401.0,25957119969.0,72.101,28008747335.0,28.4,18.634999999999998,32264157.0,90.58047847799999,19.557,4.757,-203860.55,6657820273.0,34921454874.0,321.55627605957943
48.44704553,-2417084322.11,26086593092.05,17.64999962,9764165.0,35.1,15461.8,3654636790.0,53.51013457,94.79,0.594738638405,21884325697.0,34175414545.0,72.594,36662799895.0,22.76,18.14,32692163.0,87.126249313,20.077,4.71,-130535.7,8055087627.0,45204948173.0,506.57100140276
56.25931627,-1101000000.0,53519474888.0,15.27000046,9985163.0,33.6,24411.6,4382785325.0,51.7731857,98.73,0.603538937875,24843327242.0,48714922833.0,73.072,50535698445.0,22.27,9.9,33149724.0,84.41824646,20.774,4.674,-66873.25,7937300328.0,59796892037.0,503.14250752775206
62.19281085,-1762000000.0,63753929043.0,12.27000046,10196156.0,32.1,4218.0,5020700540.0,50.49048192,106.48,0.60507985205,25651596909.0,57121832267.0,73.521,58556945542.0,25.155,9.9,33641002.0,72.64868164,21.582,4.651,-130340.6,8827460611.0,69608777286.0,365.6155977475373
66.17026429,-1539745128.0,76641860870.0,13.78999996,10401602.0,30.8,3622.0,5941376270.0,49.55799223,95.15,0.6095899090200001,33536035179.0,63469316609.0,73.936,64946237024.0,20.8,8.3,34166972.0,79.22640819500002,22.424,4.639,-357340.0,10208664937.0,78611634948.0,467.9535232121643
76.30127101,-2320754664.0,98286684436.0,11.32999992,10600180.0,29.5,4651.0,7583958955.0,48.95977672,101.02,0.6290885910449999,49098439145.0,82038309074.0,74.311,84124156085.0,26.035000000000004,8.3,34730608.0,75.13604736,23.226,4.637,-14610.25,11263750387.0,101178244038.0,977.1787332385893
67.78484177,-2532507565.0,64861653506.0,10.15999985,10801298.0,28.4,4574.0,6070831086.0,48.66997276,122.17,0.6086877599400001,49329277357.0,48532072953.0,74.644,49599270475.0,27.130000000000003,6.5,35333881.0,76.5031558995,23.932,4.643,-202700.65,12819669649.0,66634824501.0,-1040.7107597313461
78.71175711,-2081136054.0,80358713936.0,9.960000038,11074293.0,27.4,4122.0,7184159788.0,48.67453557,130.29,0.5312829018,50638394033.0,61955415939.0,74.938,62810442145.0,20.0,6.5,35977455.0,83.300001908,24.504,4.656,-184402.2,13644120414.0,82325453568.0,596.2092942793251
93.05931618,-2037319358.0,97106620957.0,9.960000038,11295173.0,26.7,4711.0,8840840162.0,49.21309473,144.1,0.63745398373,57445339739.0,77674908717.0,75.199,79230761839.0,26.28,6.5,36661444.0,82.15559368200002,24.934,4.67,-143696.05,16241811942.0,100409251887.0,982.9191776396647
100.0,-1541844615.0,98643783929.0,10.97000027,11532685.0,26.2,7724.0,9166157285.0,49.77822268,149.67,0.6511691749149999,59601221148.0,77109084462.0,75.436,78978014184.0,19.8,6.5,37383887.0,84.537359238,25.246,4.685,-143268.0,18332598324.0,101002682141.0,128.95145600098203
99.90669562,-1963635050.0,95170980739.0,9.819999695,12003272.0,25.8,7698.0,9167944716.0,50.49721717,164.91,0.6374539837300001,63758144369.0,69649242882.0,75.661,70080372890.0,27.01,6.5,38140132.0,85.36275672949999,25.451,4.699,-303498.45,20660191484.0,93821630134.0,-92.42825824685951
99.60639506,-1520777119.0,92716052466.0,10.21000004,11584916.0,25.5,8426.0,9337014587.0,51.50918943,142.51,0.63745398373,68278496773.0,65201041460.0,75.878,65858972195.0,19.4,6.5,38923687.0,85.90842514049999,25.538,4.709,-206041.1,21998540218.0,91580638034.0,-4.431758932325465
93.17609585,638915215.3,60567408593.0,11.21000004,11878706.0,25.2,8093.0,7217958498.0,52.8377883,151.0,0.628001303975,60760829186.0,38548939877.0,76.09,38035865021.0,26.744999999999997,6.5,39728025.0,74.43685150200001,25.481,4.715,-237473.55,19262522397.0,60519975114.0,-1306.8426085684123
70.92866756,-32411922.628900003,99593638.38,8.901000016800001,175497.4,70.29500000000002,148.8,26644185.912949998,77.64119708199999,101.02,0.430545783045,571000000.0,513000000.0,63.141521951499996,44043403.258999996,30.564999999999998,21.71,59504.0,76.925630187,27.70985,8.64725,-18744.55,11744614.35045,121746261.18450001,156.4797541873122
68.54082999,-32488647.223399997,105867477.949,8.339999979549997,177552.55,62.765,156.25,26722713.697499998,79.359550025,97.6,0.430545783045,567000000.0,460000000.0,62.2140317075,39338572.655999996,29.409999999999997,21.250000000000004,59681.0,76.6002048485,27.75985,8.64725,-18903.85,10965297.1846,114163921.627,-277.60273621826127
67.60752688,-34607467.7359,100827923.98499998,9.979999542,176489.45,62.76000000000001,141.1,26783682.895999998,78.36751035,97.7,0.4305457830449999,614000000.0,498000000.0,62.2140317075,37812749.692999996,30.565000000000005,22.740000000000002,59562.0,79.004743766,28.394750000000005,9.13345,-17741.9,10807474.036449999,108668859.03199999,-133.96302303464654
69.56521739,-34475363.8634,108351423.33500001,9.6144999859,176489.45,62.760000000000005,143.2,26783682.895999998,80.0622705925,104.69,0.430545783045,634000000.0,495000000.0,62.02772926849999,38862029.008,29.409999999999997,25.275,59107.0,79.00474376599999,21.6,4.0,-21924.2,14154813.064450001,108268071.9665,-53.42063252436492
71.52682256,-34607467.7359,102735374.477,9.758999979199999,176041.45,69.53999999999999,141.1,26369390.245949995,77.64119708199999,108.88,0.430545783045,621000000.0,505000000.0,62.2140317075,44590255.110999994,30.564999999999998,25.99,58365.0,76.925630187,27.70985,8.64725,-21464.8,11697392.1281,121248668.59200001,517.8880889552838
79.51977401,-32258934.546400003,113723347.08500001,8.98399994305,212428.3,66.87499999999999,152.2,28501511.932949997,78.495588809,109.74,0.430545783045,754000000.0,641000000.0,61.45472926849999,30123102.943,31.405,26.345,57492.0,81.45079059449998,28.82885,9.03115,-33261.35,89539555.76595,131238213.0,883.217649644097
100.0,-67799507.01280001,122670604.81499998,11.178000008149999,236246.55,41.92,104.85,33027864.40845,66.85609285000001,113.47,0.430545783045,556000000.0,530000000.0,65.1245890245,54506486.173,28.360000000000003,23.519999999999996,56683.0,79.1595010745,24.235150000000004,8.80465,-20046.3,26679715.6194,143262860.594,2168.591419753815
84.5814978,-32484478.6939,123523312.32600002,9.199999809,182881.3,68.215,113.35,30844321.412449997,78.29469894,114.51,0.4305457830449999,537000000.0,364000000.0,62.340381707500015,42860366.5785,27.0,22.400000000000002,56079.0,76.59694709700001,18.7,8.904950000000001,-15581.1,39370102.952350006,128437714.24449997,-1690.0337030217288
84.04099561,-38517393.8539,115733914.45100002,8.93600001935,223215.4,68.33,127.2,30420924.900949992,79.4752575655,114.3,0.430545783045,559000000.0,335000000.0,61.581081707500005,38123237.3245,27.045000000000005,24.185000000000002,55759.0,74.18170566450002,28.125699999999995,8.8173,-6057.55,29874421.42895,121899987.46000001,23.07774255663753
98.62174579,-62920902.5217,117022588.901,10.0219999663,212750.4,51.59000000000001,112.65,33323013.23995001,70.6577704415,110.24,0.430545783045,643000000.0,482000000.0,63.898775609999994,41557444.7085,27.134999999999998,25.9,55667.0,78.15406227000001,24.503450000000004,8.02365,-19929.8,24055269.994850002,129935347.11400001,1274.4907361343285
100.9448819,-61606287.52819999,118588654.98599999,10.021999966299997,212750.4,51.59000000000001,112.65,33323013.239949994,70.6577704415,117.57,0.430545783045,641000000.0,457000000.0,63.89877560999999,41557444.7085,27.434999999999995,25.900000000000006,55713.0,78.15406227000001,24.503450000000004,8.02365,-16206.9,24055269.994850002,129935347.11400001,-63.399287025595186
100.1560062,-61132245.90519999,118588654.98599999,10.503999935800001,212750.4,56.61,115.85,34333993.648949996,71.1648640555,116.62,0.430545783045,679000000.0,426000000.0,63.17687317099999,45177307.4585,28.195000000000004,27.425,55791.0,78.15406227000001,17.5,4.2,-16804.05,25666126.18535,136025372.90399998,1.8386350897326338
101.6923077,-69413648.95260002,122466566.20899999,9.986499964299998,204248.05,51.285000000000004,105.1,34995211.982949995,70.23848781300002,120.15,0.430545783045,658000000.0,427000000.0,63.42202317099999,45177307.45849999,28.359999999999996,25.9,55812.0,78.507242583,24.961050000000004,8.7041,-16804.05,25666126.18535,136025372.90399998,336.0988339544292
58.01405924,-74232888.6172,364190980.7352,8.139000105650002,633880.7,8.9,437.1,47966379.33900001,63.164644600500004,97.45400000000001,0.43749924302,745486297.9399999,634741779.247,68.184632927,78410748.337,25.93,21.214999999999996,64327.0,70.614189529,11.2,7.808099999999999,5680.25,171052538.33,256577632.205,-664.1148699353507
58.88401306,-52555523.90695,211388334.34500003,8.34150011223,767054.15,8.5,370.2,50164201.675,62.94704861500001,95.948,0.43749924302,778135650.9,746009202.332,67.3396353655,84179751.83110002,25.93,22.354999999999997,64142.0,70.3576206205,11.9,7.687100000000001,17590.4,182769903.45489997,257060525.49350005,541.4617730866848
60.49271113,-63307671.3813595,216124378.125,8.114000138529999,915884.15,8.1,370.2,43718729.98800001,68.41550077549999,94.91,0.43749924302,719968547.315,650923473.0309999,66.953235366,81128079.80160001,24.415,21.445,64370.0,70.96479415849998,12.6,8.03525,16954.85,205108071.4084,246213750.43850002,367.1890026128385
77.8792565,-76015609.07611501,312712289.6565,7.310499993219999,1101810.75,7.7,760.05,49177214.8585,80.850140662,96.828,0.43749924302,752858032.1450001,515384174.0574999,57.3892,120340220.4885,23.389999999999997,14.584999999999999,65390.0,73.11151542700001,11.3,11.947949999999999,26228.85,355290902.416,248910994.49,2592.536294359652
80.27835439,-79387094.68385,282617125.21089995,8.859500029935,925410.25,7.3,868.35,64081483.8925,75.94260574950002,95.24699999999999,0.43749924302,847320074.9950001,618847460.2399999,61.04673414599999,184171649.699,22.21,15.16,67341.0,66.5016284955,11.8,10.08365,-27430.7,302639400.54595006,338276557.215,1117.2887319867368
82.87899719,-71508809.11578001,312637936.357,9.422999876549998,1756192.35,6.9,661.0,71833902.5645,79.702998261,89.70399999999998,0.43749924302,977275152.9900001,595758234.1949999,57.3464841465,208265513.63599998,22.155,16.630000000000003,70049.0,72.0295482645,11.2,11.898800000000001,4083.6,464842171.1804999,418214113.12500006,2095.3466828907767
85.51246424,-194963002.809925,351787293.0935,11.298999920845002,1594409.1,6.6,837.65,94384789.564,72.125137594,90.152,0.43749924302,1331815306.6,953707463.2649997,62.863262195000004,203024760.4805,20.555,12.549999999999999,73182.0,65.04935093,10.3,9.998699999999998,-61593.2,480328783.70165,581673991.0350001,7205.081687202626
88.11411598,-124815856.61249998,528718117.7004999,9.1210000751,2245028.35,6.3,813.65,95203465.77400002,73.819148825,94.3215,0.43749924302,1365937109.2800002,1031761974.24,62.06331097550001,273656776.225,21.38,18.525,76244.0,68.362632084,10.9,3.8,-51329.55,610331529.865,659055147.365,5697.211092592614
91.10656134,-179137356.3235,254106383.2,8.204999935360002,2003207.45,6.0,1458.6,124414577.262,67.103361432,96.74100000000001,0.43749924302,1800225607.475,1180923295.7900002,66.69490243950001,322316679.0,22.035000000000004,22.82,78867.0,77.28623771649998,10.7,3.6,-62756.5,575397488.5276499,578000660.385,2097.0819227190295
94.25628289,-164293633.86995,576879723.2749999,12.22899996289,2074187.35,5.7,1344.45,119890950.88749997,77.48276460849999,93.38682094999999,0.43749924302,1733489430.6300004,1474057463.15,60.8669226885,349252540.77000004,21.305,21.735000000000003,80993.0,77.49668168950002,10.6,3.3,-78194.6,753604719.41,788293009.455,2609.5558480586988
97.28306641,-120060045.4905,663904375.6650002,15.212500179449998,1728620.25,5.4,1897.75,141215802.8225,71.574598463,92.3690282465,0.43749924302,2149865939.5,1548782248.465,67.12183978600001,426160617.71000004,35.1,16.299999999999997,82684.0,79.36704196900001,10.1,2.8,-3773.55,703451198.7774999,956422778.2449999,5127.880842970102
99.49561247,-329134954.32799995,621153569.0915,11.327000078280001,1189041.65,5.1,3645.95,148367107.607,62.7945276505,90.21249999999999,0.43749924302,2804102624.42,2177715475.07,68.7253987805,442652997.1265,19.040000000000003,16.635,83862.0,72.3701914785,10.4,2.8,-2556.3,518017025.079,975805832.97,914.8032593286625
99.62708212,-169471228.91399997,539080868.94,16.48100011048,2163616.45,4.9,1818.65,109041436.21000001,71.1797315305,91.515,0.43749924302,1866670024.475,1259175077.0400002,66.53873170699998,352148974.72150004,24.595,19.89,84463.0,79.221903705,9.9,3.2,-71759.6,636351227.78,798732116.07,-5215.31135071216
100.0,-156323442.95995,601069907.8299999,12.22899996289,1862102.75,4.6,1344.45,121314797.392,76.3005293445,93.77260256949998,0.43749924302,1812859435.8400002,1473635064.66,61.93097530100001,354881936.78,34.7,21.735000000000003,84449.0,77.49668168950001,9.8,2.8,-70189.65,719541667.475,804251089.165,-2650.5187320491095
100.1967642,-168497959.5835,658425365.73,13.75550004257,2113315.8,4.4,1586.3,102084573.34850001,73.19766554049998,90.383715128,0.43749924302,1742392745.775,1220163972.975,61.68601946399999,367236980.20650005,24.594999999999995,20.055,83747.0,79.221903705,28.818863656,10.9613445798,-78926.5,598048478.2850001,790106104.665,2482.662078407062
100.3716645,-179137356.3235,331736007.05,8.204999935360002,1790538.95,4.1,1458.6,121272015.822,66.53095692050002,96.06949999999999,0.43749924302,1800225607.475,1180923295.7900002,66.48005243950001,308290066.42999995,34.5,23.134999999999998,82427.0,76.67145729049999,9.5,3.9,-62756.5,551026723.83265,684100609.74,-4648.867590782218
100.8218236,-158939664.5135,331736007.04999995,8.20499993536,1790538.95,3.9,1458.6,124412534.58199999,68.032420499,95.05600000000001,0.43749924302,1954812602.0849998,1412755413.23,65.14645243950001,310601147.54,22.035000000000004,23.449999999999996,80774.0,76.67145729049999,22.199449999999995,8.985849999999997,-62756.5,564903196.50765,707075786.6000001,852.3054507299239
100.7371138,-179949314.2295,383590039.82500005,9.544499939309999,1813769.85,3.7,1606.2,128254247.3385,73.8847837145,95.43,0.43749924302,1591993185.315,1180892624.6150002,59.423398780499994,398808693.99,34.1,23.575,79213.0,76.6714572905,28.6402,11.152449999999998,-70391.15,633121022.075,781367257.045,1765.1626481653584
