foreign_direct_investment,gross_savings,unemployment,labor_force,mortality_rate,new_businesses_registered,education_expenditure,age_dependency_ratio,food_production_index,human_capital_index,imports,exports,life_expectancy_birth,manufacturing,tobacco_use,profit_tax,population,literacy_rate,birth_rate,death_rate,migration,agriculture_forestry_fishing,industry,gdp_per_capita
173957253.84148705,84624380688.20026,8.438023217966517,5573458.0,120.4,28735.5,11644062258.340067,103.6711832,95.55,0.5933026911601942,492172294724.7273,505633735824.7585,56.784,763296400.3,25.092806868705416,16.66987033657947,22600770.0,78.92272071229543,46.901,11.048,744193.0,1566430378.0,965543405.1,179.42661095175075
173957253.84148705,84624380688.20026,8.438023217966517,5886907.0,116.3,28735.5,11644062258.340067,102.6632376,98.77,0.5933026911601942,492172294724.7273,505633735824.7585,57.271,764207132.4,25.092806868705416,16.66987033657947,23680871.0,78.92272071229543,46.231,10.704,-440402.0183585313,1689670423.0,1025522428.0,190.68381429044564
173957253.84148705,84624380688.20026,8.438023217966517,6198355.0,112.1,28735.5,11644062258.340067,101.5623708,96.05,0.5933026911601942,492172294724.7273,505633735824.7585,57.772,917509079.2,25.092806868705416,16.66987033657947,24726684.0,78.92272071229543,45.507,10.356,-440402.0183585313,1553454439.0,1370816289.0,211.38211694701965
173957253.84148705,84624380688.20026,8.438023217966517,6483460.0,107.9,28735.5,11644062258.340067,100.3491273,106.32,0.5933026911601942,492172294724.7273,505633735824.7585,58.29,1030605840.0,25.092806868705416,0.0,25654277.0,78.92272071229543,44.723,10.003,-440402.0183585313,1931964163.0,1664800141.0,242.0312848808797
173957253.84148705,84624380688.20026,8.438023217966517,6644359.0,103.7,28735.5,11644062258.340067,100.9709434,97.63,0.5933026911601942,492172294724.7273,505633735824.7585,58.826,1142282594.0,25.092806868705416,0.0,26433049.0,78.92272071229543,43.87,9.645,-440402.0183585313,1996295153.0,1966653211.0,263.733691675145
173957253.84148705,84624380688.20026,8.438023217966517,6770366.0,99.5,28735.5,11644062258.340067,101.6001828,108.92,0.5933026911601942,492172294724.7273,505633735824.7585,59.375,1729986353.0,25.092806868705416,0.0,27100536.0,78.92272071229543,42.944,9.287,-1046361.0,2934600240.0,2620448527.0,359.6932375064464
-47951776.13,84624380688.20026,2.49000001,6887819.0,95.4,636.0,11644062258.340067,102.0786589,100.53,0.5933026911601942,492172294724.7273,505633735824.7585,59.93,1803396550.0,25.092806868705416,0.0,27722276.0,78.92272071229543,41.949,8.932,-440402.0183585313,2516415785.0,2720961614.0,364.66074481041886
-55860135.47,84624380688.20026,8.438023217966517,7028236.0,91.4,3653.0,346418852.3,102.2490139,116.85,0.5933026911601942,492172294724.7273,505633735824.7585,60.484,1635724602.0,25.092806868705416,0.0,28394813.0,78.92272071229543,40.903,8.584,-440402.0183585313,3644341668.0,2723802099.0,438.07603441515886
-192022479.5,84624380688.20026,8.438023217966517,7214373.0,87.6,4759.0,450654028.7,102.0458229,115.98,0.5933026911601942,492172294724.7273,505633735824.7585,61.028,1985651755.0,25.092806868705416,0.0,29185507.0,78.92272071229543,39.829,8.25,-440402.0183585313,4156019105.0,3353890830.0,543.303041848819
-51036283.61,84624380688.20026,8.438023217966517,7522643.0,83.9,3745.0,509289820.1,100.2244608,110.74,0.5933026911601942,492172294724.7273,505633735824.7585,61.553,2453287221.0,25.092806868705416,0.0,30117413.0,31.44885063,38.75,7.936,-440402.0183585313,4227391497.0,4048741173.0,591.1627590324574
-65684511.34,84624380688.20026,1.690000057,7890946.0,80.3,3557.0,442344606.9,97.92594708,122.13,0.5933026911601942,492172294724.7273,505633735824.7585,62.054,2497416618.0,25.092806868705416,0.0,31161376.0,78.92272071229543,37.69,7.645,521769.0,4878564615.0,4231899640.0,641.8714791670303
-47774027.01,84624380688.20026,8.438023217966517,8307845.0,76.8,3191.0,576373083.4,95.33874179,119.31,0.5933026911601942,492172294724.7273,505633735824.7585,62.525,2364495706.0,25.092806868705416,0.0,32269589.0,78.92272071229543,36.67,7.38,-440402.0183585313,4690116232.0,4203629519.0,637.1655231803541
-42994416.21,84624380688.20026,7.909999847,8741746.0,73.6,2466.0,610844598.4,92.64914092,123.66,0.5933026911601942,492172294724.7273,505633735824.7585,62.966,2351170625.0,25.092806868705416,0.0,33370794.0,78.92272071229543,35.706,7.141,-440402.0183585313,4534747494.0,4348872122.0,613.8566891755708
-166983554.9,84624380688.20026,8.438023217966517,9175691.0,70.4,2255.0,521148638.1,89.95409233,119.0,0.5933026911601942,492172294724.7273,505633735824.7585,63.377,2273393319.0,25.092806868705416,0.0,34413603.0,78.92272071229543,34.809,6.929,-440402.0183585313,4107697614.0,4404257789.0,578.4663529418875
-90100000.0,516300524.3,12.30000019,1372578.0,32.6,28735.5,93000700.84,63.35169646,86.52,0.5933026911601942,1064681064.0,371812526.3,72.495,155433310.8,25.092806868705416,16.66987033657947,3168033.0,78.92272071229543,20.106,6.213,-440402.0183585313,1165012359.0,555895133.8,1009.9776675306097
-47500000.0,125876841.9,14.89999962,1403095.0,31.3,28735.5,65636664.93,62.42452164,81.76,0.5933026911601942,795637355.1,230306748.5,72.838,103517723.2,25.092806868705416,16.66987033657947,3148281.0,78.92272071229543,19.173,6.147,-179606.0,712411315.6,409007634.6,717.3805673635867
-45010000.0,441968337.5,17.70000076,1384501.0,29.9,28735.5,74568106.44,61.58218352,84.3,0.5933026911601942,933613389.8,291948928.3,73.208,120269118.8,25.092806868705416,16.66987033657947,3128530.0,78.92272071229543,18.238,6.067,-440402.0183585313,732871328.4,390726845.7,813.7902634783749
-41200000.0,478394937.7,18.39999962,1357637.0,28.6,28735.5,94188678.77,60.71301915,82.14,0.5933026911601942,1097559739.0,540977552.5,73.587,145586966.0,25.092806868705416,16.66987033657947,3108778.0,78.92272071229543,17.321,5.983,-440402.0183585313,832545039.8,531170383.8,1033.2416930382292
-143000000.0,902840654.7,16.79999924,1343716.0,27.2,28735.5,103579000.2,59.72358599,86.31,0.5933026911601942,1508346759.0,700086106.3,73.955,150277415.1,25.092806868705416,16.66987033657947,3089027.0,78.92272071229543,16.436,5.914,-440402.0183585313,853221626.6,675037359.0,1126.6833177566916
-207300000.0,1157198230.0,16.39999962,1319777.0,25.8,28735.5,118475130.2,58.68645122,89.39,0.5933026911601942,1771126270.0,836718641.2,74.288,160765418.3,25.092806868705416,16.66987033657947,3060173.0,98.71298218,15.59,5.879,-440402.0183585313,890951830.7,852494222.5,1281.6593934395212
-135000000.0,1127831427.0,15.80000019,1313099.0,24.4,28735.5,131261434.6,57.5428762,89.85,0.5933026911601942,2068789181.0,910731608.0,74.579,176816983.3,25.092806868705416,16.66987033657947,3051010.0,78.92272071229543,14.79,5.891,-176774.0,957670053.5,1004682285.0,1425.1248488205545
-178036400.7,1494845802.0,15.0,1300292.0,22.9,28735.5,170922545.9,56.31671298,95.22,0.5933026911601942,2591004722.0,1169853126.0,74.828,231428661.3,25.092806868705416,16.66987033657947,3039616.0,78.92272071229543,14.048,5.952,-440402.0183585313,1233305513.0,1349877170.0,1846.118813363267
-327681210.2,2117517923.0,14.39999962,1286492.0,21.4,28735.5,219181776.6,55.0733347,99.87,0.5933026911601942,3220863616.0,1596260273.0,75.039,300145513.9,25.092806868705416,16.66987033657947,3026939.0,78.92272071229543,13.381,6.061,-440402.0183585313,1475550839.0,1772139249.0,2373.579843862067
-258417488.7,2436229166.0,14.10000038,1271829.0,20.0,28735.5,246818247.0,53.8499697,97.92,0.5933026911601942,3853668208.0,1853023371.0,75.228,356374117.2,25.092806868705416,20.1,3011487.0,78.92272071229543,12.821,6.206,-440402.0183585313,1517434412.0,2019597818.0,2673.7872824953256
-314638316.8,2586798678.0,13.80000019,1260202.0,18.5,1417.0,276873213.3,52.61953224,102.21,0.5933026911601942,4364191251.0,2242664372.0,75.423,436350422.1,25.092806868705416,18.5,2992547.0,78.92272071229543,12.398,6.365,-440402.0183585313,1575351721.0,2251435017.0,2972.7432645168146
-647365283.8,2557023522.0,15.97000027,1247416.0,17.1,2176.0,334226995.7,51.6043425,103.82,0.5933026911601942,5867635984.0,3016115601.0,75.646,565560739.6,32.0,17.8,2970017.0,78.92272071229543,12.118,6.518,-217358.0,1831547454.0,2705665287.0,3595.0371630869454
-881244175.1,2273766544.0,13.06000042,1234242.0,15.8,3005.0,396876680.1,50.75273712,108.06,0.5933026911601942,6717536051.0,3259292016.0,75.912,643779218.2,25.092806868705416,16.8,2947314.0,95.93863678,11.973,6.65,-440402.0183585313,2168844717.0,3241080117.0,4370.540127044489
-950761387.6,2087086805.0,13.67000008,1226421.0,14.5,2045.0,366279171.8,50.04407756,112.42,0.5933026911601942,6004542100.0,3040048180.0,76.221,626007047.9,25.092806868705416,8.1,2927519.0,78.92272071229543,11.945,6.756,-440402.0183585313,2022753561.0,2940434690.0,4114.140114205919
-1043511678.0,2380979460.0,14.09000015,1225905.0,13.2,2088.0,367558315.2,49.47790868,118.43,0.5436029434,5792188900.0,3337088824.0,76.562,650270116.3,31.1,8.5,2913021.0,78.92272071229543,12.001,6.841,-440402.0183585313,2141580308.0,2974273861.0,4094.350334583925
-846616681.6,2648242224.0,13.47999954,1371813.0,12.1,1849.0,404289189.6,48.11805823,124.65,0.5933026911601942,6700239257.0,3769453238.0,76.914,729860608.7,25.092806868705416,8.8,2905195.0,96.84529877,12.1,6.915,-440402.0183585313,2349569556.0,3156227514.0,4437.142885073119
-834803023.1,2418483754.0,13.38000011,1314035.0,11.2,1886.0,386187948.5,47.0330799,133.04,0.5933026911601942,5860874324.0,3565049240.0,77.252,568489853.4,30.5,8.7,2900401.0,97.24697113,12.197,6.996,-136590.0,2312037802.0,2823522012.0,4247.629983578133
-1225674342.0,2266644416.0,15.86999989,1232509.0,10.4,2114.0,413359938.9,46.25665586,134.39,0.5933026911601942,5999382980.0,3694416159.0,77.554,646452419.4,25.092806868705416,9.4,2895092.0,78.92272071229543,12.257,7.096,-440402.0183585313,2499689408.0,2946366491.0,4413.060861278329
-1074294190.0,2108201394.0,18.04999924,1243921.0,9.9,2219.0,420858697.3,45.77467951,141.72,0.5933026911601942,6243003413.0,3732053470.0,77.813,704507394.8,30.1,9.5,2889104.0,78.92272071229543,12.259,7.219,-440402.0183585313,2644326318.0,2845222696.0,4578.631993863842
-910256726.0,1919494286.0,17.19000053,1302893.0,9.6,2616.0,359944583.8,45.55040246,145.71,0.5933026911601942,5070977924.0,3104896171.0,78.025,645803922.9,25.092806868705416,14.1,2880703.0,78.92272071229543,12.197,7.367,-440402.0183585313,2252343768.0,2478194800.0,3952.801215189487
173957253.84148705,84624380688.20026,8.438023217966517,8049040.0,42.5,28735.5,1952785862.0,74.0659637,72.74,0.5933026911601942,11240000369.0,13969999892.0,68.919,298976366901.0519,25.092806868705416,16.66987033657947,29266405.0,78.92272071229543,23.475,5.375,-440402.0183585313,83854094182.83238,508854070572.82556,1603.9379206294725
173957253.84148705,84624380688.20026,25.43000031,8251472.0,41.6,28735.5,2053027609.0,71.33041563,59.24,0.5933026911601942,10279999650.0,14890000201.0,69.323,298976366901.0519,25.092806868705416,16.66987033657947,29742979.0,78.92272071229543,22.187,5.257,-164413.0,83854094182.83238,508854070572.82556,1619.806223915903
